Time	Dell	IBM	Microsoft	Risk-Free Return	Date
1996.666667	0.15828678	0.088524588	0.076530613	0.004375	2926886400
1996.75	0.046623793	0.036144577	0.040758293	0.004246	2929564800
1996.833333	0.248847932	0.238178298	0.142987251	0.003941	2932070400
1996.916667	0.045510456	-0.049411766	0.053386454	0.004404	2934835200
1997	0.244705886	0.035478547	0.234493196	0.004014	2937513600
1997.083333	0.07561437	-0.081434265	-0.044117648	0.003788	2939932800
1997.166667	-0.04920914	-0.045217391	-0.059615385	0.00431	2942611200
1997.25	0.237523109	0.169398904	0.325153381	0.004313	2945203200
1997.333333	0.34428677	0.080373831	0.020576133	0.004263	2947795200
1997.416667	0.043888889	0.0433526	0.019153226	0.003744	2950473600
1997.5	0.456093669	0.171745151	0.119683482	0.004294	2953152000
1997.583333	-0.040204678	-0.039479904	-0.065812722	0.004058	2955657600
1997.666667	0.180502668	0.045622688	0.000945627	0.004576	2958422400
1997.75	-0.172903225	-0.070754714	-0.017477563	0.003911	2961100800
1997.833333	0.050702028	0.113705583	0.088461541	0.003773	2963520000
1997.916667	-0.002227172	-0.044520549	-0.086572438	0.004629	2966371200
1998	0.183779761	-0.056152929	0.154255316	0.004204	2968963200
1998.083333	0.406662464	0.059620254	0.136154175	0.003847	2971382400
1998.166667	-0.031277929	-0.005385996	0.056047197	0.004485	2974147200
1998.25	0.191881925	0.115523465	0.00698324	0.004308	2976739200
1998.333333	0.020510836	0.01592233	-0.058945909	0.003805	2979244800
1998.416667	0.126279861	-0.02287234	0.27781871	0.004021	2982009600
1998.5	0.170033664	0.154055521	0.014417532	0.003873	2984688000
1998.583333	-0.079136692	-0.148339629	-0.127345085	0.004012	2987366400
1998.666667	0.314999998	0.140954495	0.147231266	0.003875	2989958400
1998.75	-0.003802281	0.155642018	-0.038046565	0.003353	2992550400
1998.833333	-0.071564883	0.113434345	0.15230225	0.003233	2995228800
1998.916667	0.20349434	0.116578348	0.13678278	0.003779	2997907200
1999	0.366353542	-0.006101695	0.261829644	0.003494	3000412800
1999.083333	-0.198750004	-0.072469302	-0.142142862	0.003372	3002832000
1999.166667	0.020280812	0.044182621	0.194004998	0.004076	3005683200
1999.25	0.00764526	0.180183351	-0.092747562	0.003784	3008275200
1999.333333	-0.16388467	0.110200182	-0.007686395	0.003463	3010694400
1999.416667	0.074410163	0.114224136	0.117738187	0.004098	3013545600
1999.5	0.104729727	-0.027562862	-0.048510049	0.003658	3016137600
1999.583333	0.194189608	-0.007996022	0.07865987	0.003876	3018902400
1999.666667	-0.143405885	-0.0286001	-0.021607023	0.003705	3021494400
1999.75	-0.040358745	-0.188016534	0.022084195	0.003581	3024000000
1999.833333	0.071651094	0.050203562	-0.016374072	0.003811	3026764800
1999.916667	0.186046511	0.046694968	0.282306492	0.003764	3029443200
2000	-0.246323526	0.0405562	-0.161670238	0.004343	3032121600
2000.083333	0.061788619	-0.083563477	-0.086845465	0.004295	3034627200
2000.166667	0.321592659	0.148418486	0.188811183	0.004377	3037305600
2000.25	-0.070683658	-0.055084746	-0.343529403	0.004595	3039724800
2000.333333	-0.139650866	-0.035829596	-0.103046596	0.004782	3042576000
2000.416667	0.143478259	0.020372527	0.278721273	0.003744	3045168000
2000.5	-0.108998731	0.026240731	-0.127343744	0.004772	3047846400
2000.583333	-0.007112375	0.175141752	0	0.005002	3050524800
2000.666667	-0.293696284	-0.147727266	-0.13607879	0.005093	3053030400
2000.75	-0.042596348	-0.124444447	0.141968906	0.005217	3055795200
2000.833333	-0.347457618	-0.049441624	-0.16696915	0.004966	3058387200
