Company	Net Sales ($MM)	Employees (000)	Sales per Employee	Liabilities ($MM)	Assets ($MM)	Receivables ($MM)	Inventories ($MM)	Cash ($MM)	Cash+Short Term Invest	Gross Property	Net Property	Long-term Debt	Operating Income	Depreciation	Interest Exp	Income Taxes	Net Income
GTECH HOLDINGS CORP	1051.33	4.9	214.5571429	996.842	1559.131	126.607	76.784	129.339	351.189	1430.764	648.938	463.215	405.37	117.515	10.919	107.594	183.2
GURUNET CORP-REDH	0.029	-99	-99	2.087	1.043	0.012	0	0.124	0.124	1.216	0.206	0	-2.494	0.268	0	0.035	-2.809
HARRIS INTERACTIVE INC	130.551	1.734	75.28892734	26.753	145.242	20.821	3.776	20.391	39.084	27.357	7.806	0	12.233	5.583	0.057	-2.954	11.107
HEALTH GRADES INC	8.805	0.056	157.2321429	7.298	8.821	1.688	0	3.559	3.559	2.832	0.237	0	-0.687	0.098	0.015	0	-1.284
HEALTHAXIS INC	20.851	0.237	87.97890295	8.367	27.114	3.201	0	7.887	7.887	11.19	1.238	2.697	-2.235	2.059	0.109	0	-4.264
HEALTHGATE DATA CORP	6.06	0.028	216.4285714	4.555	5.079	0.159	0	3.431	3.431	8.11	0.282	0	-1.146	1.272	0.001	0	-1.39
HEALTHSTREAM INC	18.195	0.143	127.2377622	5.841	28.399	3.21	0	14.22	17.901	7.057	2.003	0.002	-2.428	1.371	0.022	0	-3.412
HOMESTORE INC	218.71	1.57	139.3057325	153.22	153.548	14.576	0	13.942	35.517	48.034	21.454	0.369	-22.422	34.272	0.424	0	-47.124
I-SECTOR CORP	62.152	0.189	328.8465608	12.588	19.207	10.478	2.49	2.172	2.172	3.158	1.271	0.229	-1.868	0.466	0.071	-0.181	-1.836
IDI GLOBAL INC	13.329	0.122	109.2540984	2.395	5.078	0.095	0.006	0.797	1.65	0.666	0.279	0	0.553	0.089	0.191	0.085	0.301
ILINC COMMUNICATIONS INC	5.906	-99	-99	9.094	12.46	1.122	0	0.292	0.292	-99	0.31	4.459	-0.925	0.462	1.233	0	-2.018
IMPROVENET INC	3.224	0.015	214.9333333	1.427	0.821	0.331	0	0.382	0.382	0.44	0.1	0.411	-0.771	0.08	0.07	0	-0.786
INCYTE CORP	47.092	0.454	103.7268722	225.212	379.545	5.733	0	29.698	293.807	91.88	27.337	167.786	-81.793	17.685	9.561	0.477	-166.463
INFODATA SYSTEMS INC	8.408	0.06	140.1333333	1.813	3.96	2.138	0	1.422	1.525	0.687	0.228	0	0.538	0.079	0.001	0	0.471
INFORMATION HOLDINGS INC	81.407	0.498	163.4678715	92.257	374.67	49.549	0	39.693	54.964	14.904	4.281	0	17.462	11.192	0.08	2.603	31.207
INFORTE CORP	37.397	0.189	197.8677249	7.605	74.805	4.683	0	24.071	49.542	2.084	0.714	0	1.952	1.384	-99	0.201	1.747
INFOSPACE INC	160.054	0.466	343.4635193	45.783	492.315	44.281	0	229.045	300.51	63.901	15.416	0	32.986	18.965	0	0.876	-6.319
INSWEB CORP	24.131	0.13	185.6230769	5.603	29.882	1.006	0	15.223	26.091	11.222	1.386	0	-6.1	0.891	0.086	0	1.046
