Year	Shipments (billion)	Moving Average	Shipments (billion, SA)	Change in Shipments	Computer Disk Drives (billion)	Computer Shipments	Storage Shipments	Peripheral Shipments	Computer Orders	Month	Comp&Elect Shipments	C&E, SA	Non-durables
2009.041667	$25.37 	$28.66 	$27.36 	-3.203	$0.27 	$3,440 	$270 	$578 	$3,126 	Jan	25371	27357	191041
2009.125	$23.82 	$28.40 	$26.80 	-0.554	$0.32 	$3,088 	$324 	$709 	$3,110 	Feb	23821	26803	193227
2009.208333	$28.21 	$28.05 	$26.21 	-0.593	$0.82 	$2,814 	$821 	$1,108 	$2,805 	Mar	28212	26210	187160
2009.291667	$26.34 	$27.73 	$26.66 	0.451	$0.28 	$2,892 	$280 	$645 	$2,522 	Apr	26343	26661	187311
2009.375	$24.22 	$27.63 	$26.30 	-0.363	$0.38 	$2,586 	$382 	$727 	$2,732 	May	24218	26298	189800
2009.458333	$27.90 	$27.47 	$25.56 	-0.734	$0.85 	$3,085 	$845 	$1,127 	$3,322 	Jun	27903	25564	197490
2009.541667	$27.80 	$27.45 	$28.71 	3.144	$0.39 	$3,606 	$385 	$628 	$3,301 	Jul	27802	28708	194890
2009.625	$26.73 	$27.63 	$27.80 	-0.908	$0.40 	$2,630 	$404 	$746 	$2,597 	Aug	26733	27800	197939
2009.708333	$29.12 	$27.76 	$26.89 	-0.914	$0.78 	$2,623 	$782 	$992 	$3,218 	Sep	29123	26886	200591
2009.791667	$30.13 	$28.00 	$28.62 	1.73	$0.46 	$3,154 	$456 	$702 	$3,226 	Oct	30131	28616	203978
2009.875	$27.81 	$28.34 	$27.98 	-0.637	$0.47 	$2,794 	$473 	$796 	$3,041 	Nov	27814	27979	208217
2009.958333	$30.52 	$28.60 	$27.83 	-0.145	$0.90 	$3,444 	$899 	$1,296 	$3,638 	Dec	30520	27834	209797
2010.041667	$28.23 	$28.85 	$30.22 	2.384	$0.49 	$2,870 	$488 	$563 	$2,536 	Jan	28230	30218	211236
2010.125	$25.30 	$29.13 	$28.53 	-1.684	$0.45 	$2,608 	$450 	$518 	$2,550 	Feb	25299	28534	213210
2010.208333	$29.82 	$29.45 	$27.82 	-0.713	$0.80 	$3,383 	$804 	$1,029 	$3,629 	Mar	29816	27821	218994
2010.291667	$30.56 	$29.74 	$30.52 	2.695	$0.43 	$3,682 	$429 	$692 	$3,622 	Apr	30556	30516	218254
2010.375	$28.07 	$29.99 	$30.26 	-0.253	$0.45 	$3,237 	$450 	$765 	$3,430 	May	28069	30263	213638
2010.458333	$30.34 	$30.24 	$28.48 	-1.779	$0.90 	$4,033 	$902 	$1,110 	$4,223 	Jun	30340	28484	211764
2010.541667	$31.26 	$30.40 	$31.75 	3.264	$0.52 	$4,300 	$517 	$714 	$4,034 	Jul	31257	31748	213424
2010.625	$30.13 	$30.51 	$31.42 	-0.329	$0.50 	$4,030 	$496 	$777 	$4,066 	Aug	30129	31419	215611
2010.708333	$33.27 	$30.63 	$30.97 	-0.45	$0.85 	$4,432 	$850 	$1,119 	$4,524 	Sep	33268	30969	219106
2010.791667	$32.99 	$30.70 	$31.26 	0.295	$0.47 	$4,826 	$471 	$753 	$4,728 	Oct	32993	31264	222069
2010.875	$31.06 	$30.74 	$31.30 	0.038	$0.53 	$4,071 	$534 	$840 	$4,282 	Nov	31062	31302	226848
2010.958333	$33.18 	$30.84 	$30.43 	-0.872	$1.10 	$4,269 	$1,101 	$1,513 	$4,227 	Dec	33179	30430	233295
2011.041667	$29.50 	$30.88 	$31.01 	0.583	$0.51 	$3,713 	$508 	$513 	$3,565 	Jan	29502	31013	240152
2011.125	$26.68 	$30.84 	$30.25 	-0.763	$0.44 	$3,159 	$440 	$583 	$2,984 	Feb	26676	30250	240965
2011.208333	$31.25 	$30.84 	$29.79 	-0.463	$1.00 	$3,905 	$1,002 	$1,205 	$3,989 	Mar	31248	29787	248507
2011.291667	$30.83 	$30.86 	$31.09 	1.307	$0.46 	$4,292 	$463 	$669 	$4,225 	Apr	30834	31094	249390
2011.375	$28.67 	$30.83 	$30.84 	-0.254	$0.52 	$3,527 	$521 	$823 	$3,692 	May	28665	30840	248245
2011.458333	$32.28 	$30.75 	$30.47 	-0.373	$1.05 	$4,453 	$1,045 	$1,331 	$4,583 	Jun	32276	30467	248758
2011.541667	$30.07 	$30.66 	$30.99 	0.523	$0.42 	$4,967 	$419 	$663 	$4,643 	Jul	30073	30990	249806
2011.625	$30.49 	$30.64 	$31.19 	0.195	$0.63 	$3,877 	$633 	$849 	$3,856 	Aug	30489	31185	249906
2011.708333	$32.92 	$30.65 	$30.92 	-0.264	$1.14 	$4,402 	$1,140 	$1,275 	$4,521 	Sep	32918	30921	252174
2011.791667	$33.73 		$31.26 	0.343	$0.56 	$5,598 	$557 	$906 	$5,569 	Oct	33733	31264	251305
2011.875	$29.70 		$30.32 	-0.947	$0.63 	$3,666 	$628 	$900 	$3,793 	Nov	29704	30317	252919
2011.958333	$32.57 		$30.05 	-0.263	$1.32 	$4,378 	$1,322 	$1,526 	$4,307 	Dec	32567	30054	252381
2012.041667	$28.08 		$29.92 	-0.138	$0.52 	$3,171 	$522 	$617 	$2,931 	Jan	28075	29916	
2012.125	$27.56 		$30.15 	0.231	$0.54 	$2,850 	$541 	$764 	$2,765 	Feb	27561	30147	
2012.208333	$30.45 		$29.51 	-0.635	$1.19 	$3,160 	$1,186 	$1,182 	$3,285 	Mar	30446	29512	
