Month	Date	Single Unit Completed	Single Unit Permits
Sep	2007.66667	1101	870
Oct	2007.75	1133	811
Nov	2007.83333	1140	767
Dec	2007.91667	1026	714
Jan	2008	998	675
Feb	2008.08333	906	646
Mar	2008.16667	910	621
Apr	2008.25	792	649
May	2008.33333		
Jun	2008.41667		
Jul	2008.5		
