Date	Percentage Change Apple	Percentage Change McDonalds	Percentage Change Disney	Percentage Change Microsoft	Percentage Change IBM	Percentage Change Exxon	Apple & McDonalds
20110414	-1.1037	0.2341	-1.6307	-0.8193	0.6221	0.3367	-0.10035
20110415	-1.4921	0.4022	1.2189	-0.1967	0.7517	1.0187	-0.071375
20110418	1.3406	-0.4911	-0.7707	-1.1431	-0.1624	-1.4118	-0.033175
20110419	1.8111	-0.5196	0.3641	0.2791	-0.3254	0.8424	0.063075
20110420	1.3467	2.35	1.6687	2.4254	-0.393	2.2076	2.099175
20110421	2.4199	-1.9005	0.5471	-0.9317	2.1426	0.829	-0.8204
20110425	0.6595	0.286	-0.8044	0.3527	-0.3625	-0.1621	0.379375
20110426	-0.7334	-0.2463	0.954	2.2647	0.4891	1.3918	-0.368075
20110427	-0.0771	1.2087	0.5906	0.7255	1.1158	0.4118	0.88725
20110428	-0.971	0.2055	1.0333	1.2509	0.2407	-0.5013	-0.088625
20110429	0.9748	0.3588	0.186	-2.9577	-0.1171	0.7328	0.5128
20110502	-1.0996	0.4214	0.3944	-1.0031	0.9204	-1.148	0.04115
20110503	0.5545	0.3815	-0.4622	0.5846	0.4182	-1.5523	0.42475
20110504	0.3935	0.1647	-1.0448	0.9686	-1.3016	-0.946	0.2219
20110505	-0.8067	-0.5944	0.1642	-1.0361	-1.266	-2.5822	-0.647475
20110506	-0.026	0.1272	0.8667	0.3102	0.7005	0.0847	0.0889
20110509	0.2712	0.7751	0.0929	-0.1546	0.1243	0.5926	0.649125
20110510	0.5322	0.5044	1.8794	-0.6194	0.7569	0.1923	0.51135
20110511	-0.6353	-0.2509	-5.443	-1.2076	-0.5165	-2.0998	-0.347
20110512	-0.1901	1.4464	0.1445	-0.1577	1.6165	-0.0863	1.037275
20110513	-1.7515	0.0992	-0.1443	-1.1453	-1.347	-0.2221	-0.363475
20110516	-2.1145	0.4954	-1.421	-1.8378	-0.6238	-0.779	-0.157075
20110517	0.8521	-0.2588	0.1955	0.4477	0.9712	0.2119	0.018925
20110518	1.1097	0.7043	0.9998	0.6933	-0.0352	1.654	0.80565
20110519	0.1942	1.2393	-0.0966	0.1013	0.088	0.7218	0.978025
20110520	-1.5593	-0.2182	0.29	-0.9104	-0.2521	-0.9231	-0.553475
20110523	-0.2446	0.2065	-0.8193	-1.3067	-1.1166	-1.1033	0.093725
20110524	-0.6609	0.1697	-0.1701	-0.0827	-0.1605	0.7686	-0.03795
20110525	1.3817	0.0968	0.0973	0.1656	-0.1429	0.8242	0.418025
20110526	-0.5285	-0.3506	-0.3404	1.9843	-0.3398	0.5246	-0.395075
20110527	0.7194	-0.2426	1.293	0.3648	0.1914	0.2913	-0.0021
20110531	3.0882	-0.098	0.2649	1.0097	0.8537	1.0166	0.69855
20110601	-0.667	-0.6868	-2.9546	-2.3191	-1.4029	-1.7252	-0.68185
20110602	0.1713	-0.284	-0.8416	-0.8596	-0.2822	-0.8533	-0.170175
20110603	-0.7691	-0.2601	-1.6975	-1.3006	-0.6262	-0.1844	-0.38735
20110606	-1.5723	0.1987	0.0508	0.4392	-0.1818	-1.0963	-0.24405
20110607	-1.7749	0.5452	-0.1269	0.2082	-0.6434	-0.3612	-0.034825
20110608	0.0602	0.0123	-0.305	-0.4987	0.3971	0.95	0.024275
20110609	-0.2257	0.1356	0.3569	0.0835	0.3042	0.5201	0.045275
20110610	-1.6863	-1.1076	-2.2098	-1.0643	-1.007	-1.7246	-1.252275
20110613	0.2148	0.4604	-0.3377	1.4132	-0.0061	-0.6894	0.399
20110614	1.7881	0.9166	0.5734	0.7487	0.5822	1.4515	1.134475
20110615	-1.7116	-0.2823	-0.5183	-1.9818	-1.0907	-2.1398	-0.639625
20110616	-0.4866	0.7016	-0.9898	1.0741	0.2094	0.7119	0.40455
20110617	-1.5069	0.8679	0.0789	1.1044	1.0881	-0.2525	0.2742
20110620	-1.5425	0.206	0.4995	0.8656	0.3527	0.8732	-0.231125
20110621	3.165	0.133	1.4387	1.1851	0.7272	1.0789	0.891
20110622	-0.8269	-0.1812	-1.212	-0.4443	-0.3249	-0.9309	-0.342625
20110623	2.672	-0.4356	-1.279	-0.0811	0.2656	-1.7289	0.3413
20110624	-1.4733	-0.5469	-0.6346	-1.3398	-0.6321	-2.1163	-0.7785
20110627	1.7435	0.5865	1.3039	3.7037	1.5448	1.4848	0.87575
20110628	0.9698	2.466	-0.394	2.3809	1.4258	2.1946	2.09195
20110629	-0.3639	0.2608	1.134	-0.6977	0.3117	0.7786	0.104625
20110630	0.488	-0.2956	1.7992	1.4832	0.5922	1.4081	-0.0997
20110701	2.2611	1.5773	1.7418	0.0769	1.7429	0.7742	1.74825
20110705	1.7975	-0.0117	0.6294	0.0384	0.5099	-0.4999	0.4406
20110706	0.6668	0.2569	-1.0008	1.1525	1.2997	-0.0368	0.359375
20110707	1.5465	0.2329	0.4296	1.6711	-0.6921	0.9685	0.5613
20110708	0.7027	-0.5345	0.4278	0.5603	0.0057	0.0728	-0.2252
20110711	-1.5874	-0.2921	-1.7289	-1.0773	-0.8499	-0.6309	-0.615925
20110712	-0.0706	-0.4218	-0.1785	-0.338	-0.5372	-0.0122	-0.334
20110713	1.2071	-0.0353	1.0473	0.3391	0.1551	0.7205	0.2753
20110714	-0.0698	1.0005	0.0506	-0.6008	-0.0516	-0.291	0.732925
20110715	1.9985	-0.3846	-0.7832	1.1711	0.7519	0.9241	0.211175
20110718	2.4334	-0.0936	-1.3242	-0.7095	-0.1481	-0.4217	0.53815
20110719	0.8159	0.9485	2.0387	3.5728	5.6652	1.1857	0.91535
20110720	2.6668	0.0696	-0.4552	-1.7429	-0.8423	-0.3946	0.7189
20110721	0.1008	0.313	3.5061	0.1293	0.6806	2.0648	0.25995
20110722	1.5518	2.3342	-0.2209	1.6055	0.1514	0.2352	2.1386
20110725	1.3221	-0.4968	-0.2214	1.3803	-0.7992	-0.7627	-0.042075
20110726	1.2321	-0.1135	-0.1233	0.6091	-0.4192	-0.2365	0.2229
20110727	-2.6821	-1.0566	-2.4438	-2.6709	-0.8637	-1.2564	-1.462975
20110728	-0.1961	-0.356	-0.3036	1.427	0.2481	-2.2206	-0.316025
20110729	-0.342	-0.3457	-1.9797	-1.1544	0.0275	-2.0501	-0.344775
20110801	1.6057	-0.1041	-0.4661	-0.4744	-0.6049	-0.2381	0.32335
20110802	-1.9761	-1.5395	-3.8241	-1.7235	-1.4938	-2.2111	-1.64865
20110803	0.9411	0.5643	1.2442	0.4478	0.4381	-0.1542	0.6585
20110804	-3.8719	-1.473	-5.557	-3.6404	-4.1101	-4.9923	-2.072725
20110805	-0.9937	0.9492	-0.4809	-1.0023	0.8747	1.3272	0.463475
20110808	-5.4628	-3.4908	-6.1114	-4.6729	-3.4744	-6.1882	-3.9838
20110809	5.8889	4.6888	5.056	4.4935	2.6411	2.0658	4.988825
20110810	-2.7593	-2.1871	-9.1066	-5.3948	-4.7301	-4.383	-2.33015
20110811	2.7523	2.6166	1.8389	4.0909	2.5778	5.2183	2.650525
20110812	0.8804	0.255	3.0199	-0.3573	0.8817	0.5868	0.41135
20110815	1.703	0.3699	1.6924	1.6335	2.8478	3.1806	0.703175
20110816	-0.7642	-0.1728	-0.6835	0	-1.0116	-1.0634	-0.32065
20110817	-0.0105	0.9577	-0.1496	-0.4142	0.1401	0.898	0.71565
20110818	-3.7825	-2.16	-2.4573	-2.2777	-4.4612	-4.342	-2.565625
20110819	-2.7373	1.8923	-2.1505	-2.5132	-3.8394	-1.607	0.7349
20110822	0.1152	0.6076	0.5338	-0.2911	0.9141	0.5444	0.4845
20110823	4.8143	2.0169	0.2811	3.0859	3.3589	4.9587	2.71625
20110824	0.6906	0.6702	1.2457	0.7282	1.4849	-0.1629	0.6753
20110825	-0.6539	-1.5755	-1.538	-1.3253	-0.7076	-2.4069	-1.3451
20110826	2.6383	1.3753	1.2184	2.7676	2.15	1.2122	1.69105
20110829	1.6659	0.9563	2.3457	2.3366	2.0575	2.0374	1.1337
20110830	0.0051	0.6609	1.2666	1.5093	-0.0637	-0.2833	0.49695
20110831	-1.3231	-0.4076	1.4294	1.4106	-0.3478	0.1488	-0.636475
20110901	-0.9874	-0.3761	-1.9965	-1.4662	-0.9191	-0.716	-0.528925
20110902	-1.8319	-1.088	-2.7561	-1.5643	-1.9668	-1.837	-1.273975
20110906	1.5212	-0.3031	-2.1565	-1.124	-1.1199	-1.3723	0.152975
20110907	1.1034	0.5292	2.7393	1.9208	1.3324	3.5137	0.67275
20110908	0.0547	-0.7616	-2.084	0.8462	-1.2312	-1.127	-0.557525
20110909	-1.7337	-4.0402	-2.8482	-1.8307	-2.348	-2.4856	-3.463575
20110912	0.6517	1.3642	0.8054	0.5827	0.6507	1.1688	1.186075
20110913	1.2318	-0.0812	0.5113	0.5794	0.6218	-0.2645	0.24705
20110914	1.2168	0.7315	2.6709	1.7665	2.3313	1.3817	0.852825
20110915	0.9401	1.5216	2.013	1.8491	1.7041	1.886	1.376225
20110916	1.9188	0.2498	-0.0911	0.4817	1.705	0.7296	0.66705
20110919	2.779	0.589	-1.2154	0.3319	0.0809	-1.1402	1.1365
20110920	0.4421	0.563	-0.6152	-0.8453	0.9184	0.4206	0.532775
20110921	-0.3168	-2.0043	-3.1879	-3.6694	-0.973	-2.7564	-1.582425
20110922	-2.504	-1.7482	-5.5307	-3.5783	-2.5431	-3.7933	-1.93715
20110923	0.6172	1.6048	0.9475	0	0.427	0.1011	1.3579
20110926	-0.2795	2.2548	1.5756	1.5164	3.053	3.4771	1.621225
20110927	-0.9698	0.4477	2.8383	0.9041	1.8337	1.6592	0.093325
20110928	-0.5635	-1.9055	-2.1823	-0.3701	-0.09	-1.1521	-1.57
20110929	-1.6221	0.852	0.5577	-0.4888	0.9124	2.5114	0.233475
20110930	-2.3683	-1.0813	-1.5987	-2.2004	-2.4	-1.6919	-1.40305
20111003	-1.7623	-2.0497	-3.8462	-1.4464	-0.9035	-2.0377	-1.97785
20111004	-0.5606	0.5348	2.9655	3.3021	0.8368	2.3612	0.26095
20111005	1.5436	-0.7516	5.5258	2.1705	1.2075	1.5378	-0.1778
20111006	-0.2327	1.4913	1.6503	1.7381	2.7368	-0.0811	1.0603
20111007	-2.006	0.1033	-1.0303	-0.3417	0.3853	-0.4466	-0.424025
20111010	5.1406	1.5023	4.1009	2.6286	2.3192	3.6977	2.411875
20111011	2.9526	0.9377	-1.1818	0.2227	-0.8681	-0.0131	1.441425
20111012	0.4747	-1.0969	3.5265	-0.1482	0.6054	1.1669	-0.704
20111013	1.5515	1.0751	-0.622	0.816	0.3761	-1.0238	1.1942
20111014	3.3225	0.7054	2.7422	0.3311	1.9859	2.2784	1.359675
20111017	-0.4763	-1.4232	-3.1332	-1.0634	-2.0679	-0.8194	-1.186475
20111018	0.5357	1.1053	1.6472	1.2231	-4.1213	1.833	0.9629
20111019	-5.594	-0.0223	-0.9723	-0.6591	-0.844	-0.5831	-1.415225
20111020	-0.8304	-0.6807	0.6843	-0.3317	-0.0789	0.357	-0.718125
20111021	-0.6172	3.7187	3.9007	0.4438	2.4711	1.8041	2.634725
20111024	3.2835	-0.3358	0.5973	0.1105	0.3414	0.0499	0.569025
20111025	-1.9716	-0.2608	-2.4314	-1.3976	-1.037	-0.9106	-0.6885
20111026	0.7115	0.0109	1.5648	-0.8206	0.8927	2.0519	0.18605
20111027	1.021	1.8849	3.5093	2.4821	2.1487	0.9991	1.668925
20111028	0.0642	-0.2353	-0.1929	-0.9908	0.8446	-0.4885	-0.160425
20111031	-0.042	-0.4717	-3.673	-1.2973	-1.5044	-4.1605	-0.364275
20111101	-2.0431	-1.0124	-3.6697	-2.4033	-1.7765	-2.7532	-1.270075
20111102	0.227	0.6746	1.3988	0.077	1.4171	1.8831	0.5627
20111103	1.4242	0.5079	2.8177	1.9992	1.8378	1.9258	0.736975
20111104	-0.7021	0.871	-0.7708	-1.0554	-0.4912	-0.4311	0.477725
20111107	-0.1274	0.8635	1.122	2.0952	0.5043	1.0571	0.615775
20111108	1.6261	-0.0211	0.3983	1.3433	0.363	1.109	0.3907
20111109	-2.6955	-2.0613	-4.2505	-3.5346	-2.6756	-2.9714	-2.21985
20111110	-2.545	0.6584	2.5155	0.3053	0.6091	1.6927	-0.14245
20111111	-0.1558	1.6084	5.9469	2.3973	2.198	1.2961	1.16735
20111114	-1.3936	-0.7387	-1.5804	-0.5574	-0.016	-0.9533	-0.902425
20111115	2.5233	0.4359	0.9136	0.6726	0.7473	0.1646	0.95775
20111116	-1.0442	-1.3973	-2.524	-2.5056	-1.1285	-1.0621	-1.309025
20111117	-1.9128	-0.9232	-1.0695	-2.033	-0.4769	-0.4984	-1.1706
20111118	-0.6545	0.4876	1.3656	-0.9397	-0.2638	0.0514	0.202075
20111121	-1.5816	-0.496	-3.6486	-1.1858	-2.0298	-1.2709	-0.7674
20111122	2.0325	0.401	-0.903	-0.84	-0.0937	-1.1442	0.808875
20111123	-2.5285	-0.8419	-1.8225	-1.2908	-1.8532	-1.9071	-1.26355
20111125	-0.9319	0.2503	0.3293	-0.6947	-0.5001	-0.9118	-0.04525
20111128	3.4519	1.8024	1.6711	2.3457	2.9086	2.6252	2.214775
20111129	-0.7763	0.4266	-0.2055	-0.1206	-0.697	1.4372	0.125875
20111130	2.4116	2.2041	5.4412	2.9791	3.9018	4.5626	2.255975
20111201	1.4992	-0.0209	0.3905	-1.1728	0.7713	-0.8081	0.359125
20111202	0.4563	0.2094	1.7227	-0.2373	0.1109	0	0.271125
20111205	0.8494	-0.3657	0.9014	1.9033	0.6222	0.8272	-0.061925
20111206	-0.5242	0.6922	-0.2978	-0.1556	1.1004	0.4599	0.3881
20111207	-0.4758	0.4583	0.7331	-0.2338	0.5753	0.3217	0.224775
20111208	0.4035	0.4873	-3.1806	-0.7813	-1.2729	-1.4924	0.46635
20111209	0.7577	1.1453	1.7817	1.1811	1.5555	1.8405	1.0484
20111212	-0.4522	0.459	0.2462	-0.7393	-1.2233	-1.5859	0.2312
20111213	-0.7733	-0.4874	-0.8731	0.98	-0.536	0.5996	-0.558875
20111214	-2.217	-0.398	-1.569	-0.6599	-1.2712	-1.3535	-0.85275
20111215	-0.3288	0.543	0.0853	-0.1172	-0.6571	0.7427	0.32505
20111216	0.5489	-0.6623	0.3694	1.7214	-2.0855	0.1624	-0.3595
20111219	0.3123	-0.2564	-1.6138	-1.8077	-0.3704	-0.7859	-0.114225
20111220	3.5949	1.6248	4.0863	1.9389	2.3785	3.1057	2.117325
20111221	0.125	0.3845	0.2765	-1.0182	-3.0816	1.3659	0.319625
20111222	0.531	-0.6048	1.8748	0.1941	0.3141	1.4076	-0.32085
20111223	1.1993	1.572	2.0298	0.8524	1.4887	1.1033	1.478825
20111227	0.7934	0.3994	-0.2387	0.0384	0.1083	0.0704	0.4979
20111228	-0.9569	-0.9647	-0.9838	-0.8449	-0.5191	-1.2899	-0.96275
20111229	0.6159	1.2352	1.2621	0.7746	1.1903	1.2948	1.080375
20111230	-0.0296	-0.4761	-0.5569	-0.2306	-1.2354	-0.5981	-0.364475
